iso3,country,first_period,last_valid_period,valid_months_through_cutoff,complete_run_ending_at_cutoff,recent_reported_months,data_screening,cusum_eligibility,forecast_eligibility,revision_comparison
MAR,Morocco,2012-01,2026-06,172,51,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MCO,Monaco,2012-01,2024-04,3,0,2,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MDA,Republic of Moldova,2012-01,2026-05,125,0,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MDG,Madagascar,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
MDV,Maldives,2012-01,2026-06,157,47,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MEX,Mexico,2014-01,2026-06,138,90,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
MHL,Marshall Islands,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MKD,North Macedonia,2012-01,2024-08,127,0,20,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MLI,Mali,2012-01,2026-05,173,0,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MLT,Malta,2012-01,2024-09,88,0,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MMR,Myanmar,2012-01,2026-06,146,52,56,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MNE,Montenegro,2012-03,2026-05,96,0,34,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MNG,Mongolia,2012-01,2026-06,160,45,51,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MOZ,Mozambique,2012-01,2026-06,167,78,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
MRT,Mauritania,2012-01,2026-05,106,0,42,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MWI,Malawi,2012-01,2026-06,163,6,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
MYS,Malaysia,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
NAM,Namibia,2012-01,2026-05,161,0,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NER,Niger,2012-01,2026-06,171,30,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NGA,Nigeria,2012-01,2026-05,173,0,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NIC,Nicaragua,2015-01,2025-04,124,0,46,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NIU,Niue,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NLD,Netherlands (Kingdom of the),2012-01,2026-05,124,0,35,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NOR,Norway,2012-01,2026-05,98,0,12,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NPL,Nepal,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
NRU,Naoero,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
NZL,New Zealand,2012-01,2026-06,156,51,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
OMN,Oman,2012-01,2026-05,173,0,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PAK,Pakistan,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
PAN,Panama,2015-01,2026-06,130,52,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PER,Peru,2015-01,2026-06,136,69,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
PHL,Philippines,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
PLW,Palau,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PNG,Papua New Guinea,2012-01,2026-03,137,0,41,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
POL,Poland,2012-01,2026-06,62,33,39,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PRK,Democratic People's Republic of Korea,2012-01,2026-04,151,0,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PRT,Portugal,2012-01,2026-06,154,9,50,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
PRY,Paraguay,2015-01,2026-06,138,138,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
QAT,Qatar,2012-01,2026-06,162,59,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ROU,Romania,2012-01,2026-06,145,1,49,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
RUS,Russian Federation,2012-01,2026-06,171,126,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
RWA,Rwanda,2012-01,2026-06,172,18,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SAU,Saudi Arabia,2012-01,2026-01,165,0,52,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SDN,Sudan,2012-01,2026-06,172,54,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SEN,Senegal,2012-01,2026-06,172,70,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
SGP,Singapore,2012-01,2026-06,166,34,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SLB,Solomon Islands,2012-12,2026-06,21,1,9,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SLE,Sierra Leone,2012-01,2025-10,142,0,47,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SLV,El Salvador,2015-01,2026-06,105,55,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SMR,San Marino,2017-01,2024-06,37,0,2,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SOM,Somalia,2012-01,2026-05,161,0,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SRB,Serbia,2012-01,2026-06,147,32,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SSD,South Sudan,2012-01,2026-06,137,6,46,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
STP,Sao Tome and Principe,2014-02,2022-05,9,0,1,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SUR,Suriname,2015-01,2026-05,29,0,5,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SVK,Slovakia,2012-01,2026-04,136,0,31,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SVN,Slovenia,2012-01,2025-06,101,0,8,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SWE,Sweden,2012-01,2026-04,115,0,27,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SWZ,Eswatini,2012-01,2026-06,163,6,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SYC,Seychelles,2017-11,2020-06,12,0,0,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
SYR,Syrian Arab Republic,2012-01,2026-06,171,150,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
TCD,Chad,2012-01,2026-04,155,0,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TGO,Togo,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
THA,Thailand,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
TJK,Tajikistan,2012-03,2026-06,150,31,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TKM,Turkmenistan,2012-01,2026-06,129,18,56,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TLS,Timor-Leste,2012-01,2026-06,163,6,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TON,Tonga,2012-12,2026-06,16,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
